date,event_name,event_date,GPR_custom,F3_raw,GPR,GPR_zscore,N,mean_tone,BTC,Gold,TLT,DXY,SP500,NASDAQ,VIX,fear_greed,fg_label,fear_greed_lag1
2019-05-20,hormuz,2019-06-13,0.675399868,3.426078742,106.4719009,0.0629692189,2480,-4.320848208,-0.02712584602869586,0.0012545877919818633,-0.0020657444623495254,-0.0007145378216042793,-0.006772257975405369,-0.014679353767466347,16.309999465942383,73,Greed,
2019-05-21,hormuz,2019-06-13,0.157622522,2.680402386,106.4719009,0.0629692189,2163,-3.720874634,-0.0018795372127934414,-0.003218067708084531,-0.001592013198909453,0.001326570477053818,0.008459949093190606,0.010761957357637741,14.949999809265137,68,Greed,73.0
2019-05-22,hormuz,2019-06-13,-0.076328813,2.343477683,106.4719009,0.0629692189,1613,-4.03719605,-0.0362187635444826,0.0012570520207180209,0.005719304049745687,0.000509793070372368,-0.0028283923638994365,-0.004490109723692007,14.75,69,Greed,68.0
2019-05-23,hormuz,2019-06-13,-0.128596939,2.268203812,106.4719009,0.0629692189,1707,-3.74407946,0.025934032858881368,0.00875558527616713,0.011184727334699806,-0.002653626148370028,-0.01198569224128196,-0.015938838659661676,16.920000076293945,65,Greed,69.0
2019-05-24,hormuz,2019-06-13,-0.475569577,1.768511629,106.4719009,0.0629692189,1385,-3.425996241,0.027711476669699246,-0.0014020165813160776,0.0008612301308655441,-0.002455724808188649,0.0013526437720373175,0.0011437688609085457,15.850000381469727,64,Greed,65.0
2019-05-28,hormuz,2019-06-13,-0.505804911,1.724968253,106.4719009,0.0629692189,1165,-3.833166011,-0.009793263049045299,-0.005079127934097918,0.007174065268864191,0.0035792692982014075,-0.008410950000260244,-0.003891236583184043,17.5,71,Greed,64.0
2019-05-29,hormuz,2019-06-13,-0.186162688,2.185300574,106.4719009,0.0629692189,1427,-4.136030235,-0.00695935212814635,0.0032067413386132966,0.0030257162600661417,0.001835801704528244,-0.00693591016723137,-0.007923681900655634,17.899999618530273,71,Greed,71.0
2019-05-30,hormuz,2019-06-13,-0.216148323,2.142116802,106.4719009,0.0629692189,1406,-4.101324583,-0.040056647967728856,0.005062907666908317,0.008561899185503704,0.0,0.002096272674997037,0.002700645421923486,17.299999237060547,73,Greed,71.0
2019-05-31,hormuz,2019-06-13,-0.57267046,1.628671922,106.4719009,0.0629692189,1531,-2.91965443,0.01654990235854181,0.014424310458736921,0.012441521323924455,-0.00398182557708955,-0.013283205250452958,-0.015255112850742032,18.709999084472656,61,Greed,73.0
2019-06-03,hormuz,2019-06-13,-0.63934054,1.532657095,106.5884552,0.0653859065,1053,-3.697141851,-0.06301805868386157,0.012859147970708999,0.004616503453707573,-0.006259968231091945,-0.002769070654307939,-0.016249309549947098,18.860000610351562,66,Greed,61.0
2019-06-04,hormuz,2019-06-13,-1.069231182,0.913550659,106.5884552,0.0653859065,762,-2.890306474,-0.06300147834270085,0.0005291359094371339,-0.011466957813398397,-0.0007208660541215514,0.021205927081077776,0.026125074932523477,16.969999313354492,42,Fear,66.0
2019-06-05,hormuz,2019-06-13,-1.083439053,0.893089213,106.5884552,0.0653859065,570,-3.640079635,0.014996473539935253,0.003695764872375826,-0.005667832637756076,0.0030858186180851644,0.008128726978813691,0.006404199045652896,16.09000015258789,27,Fear,42.0
2019-06-06,hormuz,2019-06-13,-1.154203903,0.791177308,106.5884552,0.0653859065,712,-2.653780213,-0.00028224106582634646,0.006976979179977753,0.0032208476005683552,-0.003497986741816167,0.006116840676004416,0.005275470816131185,15.930000305175781,34,Fear,27.0
2019-06-07,hormuz,2019-06-13,-0.767387142,1.348250952,106.5884552,0.0653859065,1082,-3.180927431,-0.005757522050397937,0.0026877541074792105,0.008614536647041518,-0.004337934609427309,0.010442979247260026,0.016480797282314514,16.299999237060547,27,Fear,34.0
2019-06-10,hormuz,2019-06-13,-0.817734712,1.275742966,106.5884552,0.0653859065,925,-3.425506118,0.03981203302759007,-0.012378717355321674,-0.009457098146807653,0.0015514459723424503,0.004649220074765499,0.010416852029554056,15.9399995803833,46,Fear,27.0
2019-06-11,hormuz,2019-06-13,-1.022138431,0.981371223,106.5884552,0.0653859065,737,-3.195157293,-0.009117973017984032,0.001282541956835377,0.0006128530182133712,-0.0007236980741580867,-0.0003499414579512858,-7.671067859787108e-05,15.989999771118164,61,Greed,46.0
2019-06-12,hormuz,2019-06-13,-0.493174879,1.743157377,106.5884552,0.0653859065,1216,-3.74268371,0.027144739690551607,0.004137988749946852,0.0007654509049308315,0.0032009687580950587,-0.002039657827237423,-0.003823130490430538,15.90999984741211,60,Greed,61.0
2019-06-13,hormuz,2019-06-13,1.308017408,4.337142049,106.5884552,0.0653859065,3707,-4.200137766,0.010388753446054437,0.0054658717373067345,0.003437704093865398,0.00010310949053337827,0.004089010502850191,0.0056826888551269935,15.819999694824219,63,Greed,60.0
2019-06-14,hormuz,2019-06-13,1.465052701,4.563296217,106.5884552,0.0653859065,4180,-4.105231971,0.029571238953311804,0.0006718355335490992,0.0025134391272304294,0.005755977998179947,-0.0016128117861529605,-0.005177224058406514,15.279999732971191,67,Greed,63.0
2019-06-17,hormuz,2019-06-13,0.24670592,2.808695724,106.5884552,0.0653859065,2784,-3.274025392,0.03558847752156163,-0.0010452624905258059,0.0017480203541809587,-0.0001025176690412685,0.0009313154323528439,0.006183481163924349,15.350000381469727,84,Extreme Greed,67.0
2019-06-18,hormuz,2019-06-13,0.936315993,3.801836751,106.5884552,0.0653859065,3679,-3.699208237,-0.025932150849555906,0.005883921663461859,0.004999280528416376,0.000819690950664302,0.009670489592970687,0.013780907123609843,15.149999618530273,83,Extreme Greed,84.0
2019-06-19,hormuz,2019-06-13,0.449551322,3.10082326,106.5884552,0.0653859065,2352,-4.057318817,0.020894883881637273,-0.001486326103211523,0.0014344612150906197,-0.005339883682238628,0.0029807167930238428,0.004195417041413874,14.329999923706055,82,Extreme Greed,83.0
2019-06-20,hormuz,2019-06-13,2.022407394,5.365969836,106.5884552,0.0653859065,5132,-4.279816491,0.02698349626412288,0.03529136934367409,0.0026372777458322522,-0.005058132003962697,0.00942760533587314,0.00798325556730158,14.75,81,Extreme Greed,82.0
2019-06-21,hormuz,2019-06-13,2.616934292,6.222176957,106.5884552,0.0653859065,6527,-4.347237741,0.043504435274250526,0.0023663033426528273,-0.011047378983738584,-0.004251974629626087,-0.0012600162797279978,-0.0024410659418996517,15.399999618530273,84,Extreme Greed,81.0
2019-06-24,hormuz,2019-06-13,2.269509033,5.721832932,106.5884552,0.0653859065,5730,-4.289986105,0.014244096327892747,0.012880517986897823,0.0074288622422430265,-0.0024973775524480095,-0.0017333884605870258,-0.0032436394874329377,15.260000228881836,80,Extreme Greed,84.0
2019-06-25,hormuz,2019-06-13,1.800130146,5.045857553,106.5884552,0.0653859065,4872,-4.146446895,0.0684254031313087,0.00042413090583868053,0.0030916862474984616,0.0018736374649532968,-0.009541775640387554,-0.015227075799194738,16.280000686645508,87,Extreme Greed,80.0
2019-06-26,hormuz,2019-06-13,0.703519578,3.466575305,106.5884552,0.0653859065,3083,-3.776678642,0.09886766271923943,-0.002335078951077535,-0.00642024997791971,0.0005197839868493386,-0.0012346956788039985,0.0031972796962940323,16.209999084472656,95,Extreme Greed,87.0
2019-06-27,hormuz,2019-06-13,0.207561151,2.752321437,106.5884552,0.0653859065,2813,-3.186096626,-0.15181967393698742,-0.0022694698902970736,0.007022286514981928,-0.00020786531164056955,0.0038158857925908473,0.007279353665325068,15.819999694824219,92,Extreme Greed,95.0
2019-06-28,hormuz,2019-06-13,-0.0878715393,2.326854441,106.5884552,0.0653859065,2571,-2.862736093,-0.011081384100695748,0.0009225555241278228,-0.0006774027641129563,-0.0006240140394201017,0.005740941840599626,0.004817896980649358,15.079999923706055,62,Greed,92.0
2019-07-01,hormuz,2019-06-13,-0.12697712,2.270536591,93.52125549,-0.205555196,2240,-3.074602986,-0.02187165092867407,-0.017243639951311836,-0.0043010219773391475,0.007358680747589563,0.007643018610953927,0.010550860088116325,14.0600004196167,65,Greed,62.0
2019-07-02,hormuz,2019-06-13,-0.256786086,2.083592382,93.52125549,-0.205555196,1648,-3.53162262,0.020439793649304375,0.013619306155092862,0.007683570860866895,-0.0011364673551580555,0.002923847276988696,0.0022135084113789004,12.930000305175781,63,Greed,65.0
