date,BTC,Gold,TLT,DXY,SP500,NASDAQ
2019-01-03,-0.02742232180619206,0.008395609500155037,0.011315187482934875,-0.005281451136241998,-0.02506833181891511,-0.030840003413063557
2019-01-04,0.020215977806964422,-0.007069439157760669,-0.01164271483522426,-0.0012467026777095323,0.03375939906034647,0.04171978412266962
2019-01-07,-0.012684700557385667,0.0031913610711298765,-0.0029525208806062365,-0.005002650903429855,0.006985975995229761,0.01247742073715234
2019-01-08,0.0013901547706836324,-0.0028016342498520465,-0.0026317943837888985,0.001983221158362685,0.009648587336497393,0.010718362847466868
2019-01-09,0.0011030020343775215,0.0047425532281951755,-0.0015659330091569036,-0.007115981214347269,0.004089671332822161,0.008673322865231559
2019-01-10,-0.0924592824929815,-0.0035742832584524176,-0.006454294554438658,0.00335500095828451,0.004508241374462229,0.004158283898455209
2019-01-11,-0.01161378220443087,0.0018664166569111902,0.003894128305443112,0.0013597330063223076,-0.0001463085444824661,-0.002090603188675801
2019-01-14,0.04218810159294485,0.0015526748231558635,-0.0037280764061801974,-0.0008365767857184733,-0.00527139458724949,-0.009448534565961127
2019-01-15,-0.020548563372547957,-0.0022521847725428135,-0.003658763715559068,0.003967481584089056,0.010664618879761001,0.01692966097108439
2019-01-16,0.006679301401546422,0.004189644244261605,0.0009991902937477445,0.0009373154720789112,0.0022195205290883643,0.0015449514495489678
2019-01-17,0.006424485580328479,-0.0004646291352922488,0.0002496257848209902,0.00010411842380147599,0.007562730706235749,0.0070500314846657745
2019-01-18,-0.007067127908390901,-0.007541886222843759,-0.005255527281775565,0.002806473944679403,0.01309691283985578,0.010219384517698674
2019-01-22,0.00795053055647093,0.00093607242112592,0.006752038213659928,-0.00041521269553680814,-0.014258476827972471,-0.019308552581686445
2019-01-23,-0.005411671839448025,0.0004677078286435974,-0.000415497544309938,-0.0018709110514125024,0.002200489919450871,0.0007703412345865474
2019-01-24,0.004381431105509742,-0.003122319355127618,0.006544370907443514,0.004981285979845186,0.001374780110977555,0.006764925935189553
2019-01-25,-0.0015680896475942713,0.01420559407819777,-0.004800554100148206,-0.008420420470173488,0.008452867700518018,0.012838756110327301
2019-01-28,-0.0321855631491495,0.0038464543970783884,-0.0009960581546652656,-0.00041767689169542764,-0.007877775848708898,-0.011112631817476794
2019-01-29,-0.006456126661071388,0.0044433742087311885,0.005053177137715089,0.0007308002093346978,-0.0014573079351148383,-0.008132432213352268
2019-01-30,0.010978782970954,0.0012987078392666725,-0.0007439251347491996,-0.005022016904459742,0.015429609891560045,0.021784832765876307
2019-01-31,-0.008176606850343018,0.007453583981655651,0.008563254542613233,0.0025142009416812875,0.008560648809767757,0.01364160551103814
2019-02-01,0.0005991408083256405,-0.002123892768155545,-0.008315218000992209,0.0,0.0008982065848071141,-0.0024571160296978757
2019-02-04,-0.0014038013125416823,-0.0019762666158226303,-0.004474288031646933,0.0028208412648959165,0.006753381117479676,0.011452807845096613
2019-02-05,0.0020802425249583987,-7.616332988273438e-05,0.004556974231982096,0.002604846526007075,0.0046973704373502,0.00739548370868154
2019-02-06,-0.015287693750092953,-0.0035826933617428332,0.000495847601843161,0.0033243298888583233,-0.0022269157175087858,-0.0036272138731508357
2019-02-07,-0.004196583300843028,-7.634929554701608e-05,0.006588206731346341,0.000933022066781138,-0.009401193202230233,-0.011856642123861078
2019-02-08,0.02735247900898129,0.0032785106548437006,0.004259132021351267,0.0013460758169269156,0.0006759725660127,0.00135057281614435
2019-02-11,-0.011380348161982145,-0.005113111682841348,-0.0039308520448621005,0.004336590952711256,0.0007088518038183947,0.0013281722557409628
2019-02-12,0.0013963105132088508,0.001681791706648733,-0.002546977407761476,-0.0036125185613491797,0.012807852902838604,0.014497801185621979
2019-02-13,-0.0058905436608690425,0.001221448744417649,-0.003791310005741105,0.004333458874714606,0.0030194315937109753,0.0007765104030215458
2019-02-14,-0.004190873583172263,-0.0007631840122664169,0.005681619657390876,-0.0015454528449521325,-0.0026551633836986214,0.0008850497556546418
2019-02-15,0.019846441429585228,0.0063167961332353875,0.0015588667723894774,-0.0006189292360145267,0.010820004664957538,0.006102289082795742
2019-02-19,0.007981955101910685,0.01655293261183519,0.0025381562991346296,-0.004135671078728945,0.0014976213265920058,0.0019198736191796573
2019-02-20,0.013269765098495359,0.002385089610256545,-0.002866140186762045,-0.0007254982662519485,0.00177553356074094,0.00030713532323710325
2019-02-21,-0.01149189028232773,-0.014849566751193068,-0.00897904597777292,0.0016575541361932384,-0.0035326693258413886,-0.0039280665652146555
2019-02-22,-0.01233874132859021,0.004297478078310308,0.005940131534143889,-0.0010356097932493662,0.006390638694710404,0.009051766169176747
2019-02-25,0.01878844714597673,-0.0024857282115930447,-0.0029656551282262102,-0.0010366833928195224,0.0012311044497517107,0.0035698117574532147
2019-02-26,-0.007325399279809829,-0.0006035826876001255,0.004937862739938786,-0.004261777193198242,-0.0007907696728402984,-0.0006832942963663161
2019-02-27,-0.000859279158257992,-0.005600154350637701,-0.011393759862686918,0.0015612964367278633,-0.0005441974362980739,0.0006898870274924959
2019-02-28,0.0009701838898456305,-0.00372545752587554,-0.003410306214858219,0.00010402096583284309,-0.002829507598950442,-0.0029137586529924936
2019-03-01,-0.0006586739348800932,-0.01257108687016906,-0.011396075898878626,0.0038403193442849287,0.006871656588713028,0.008305284558913564
2019-03-04,-0.02250631409689688,-0.008988108902638492,0.00780690366580884,0.0015527307771561066,-0.003888107395255168,-0.002343686207766131
2019-03-05,0.035213632013154125,-0.0021817437163371535,0.002088293852074777,0.0017568151060931927,-0.001132173489706859,-0.0001596893960870817
2019-03-06,0.0019403387629408418,0.00225955480956854,0.003664858760896641,0.0002065276936401051,-0.00654547360412503,-0.009340823081353283
2019-03-07,0.0019299650258204676,-0.0008564453784477475,0.00646392232514697,0.008224528920454022,-0.008158911138331157,-0.011316234048727796
2019-03-08,0.0034011952049135953,0.010229437404707756,0.00420395576078404,-0.0030762475136783527,-0.0021339641314536495,-0.001796383950066561
2019-03-11,-0.011804535394846043,-0.0063423145671770475,-0.0029656551282262102,-0.0015417190249468634,0.014559535563489445,0.020035137147738583
2019-03-12,0.0010055701480762823,0.0058024995240326446,0.006988136185471093,-0.002884208571455564,0.002948965727805163,0.004352707516611882
2019-03-13,-0.00062410552370009,0.008602826665778341,-0.001886061718755151,-0.0040312151193654016,0.0069255467570192835,0.006876600348556077
2019-03-14,0.00450815746490209,-0.01084248805070627,-0.007249433571433124,0.0024826521373223884,-0.0008683993315961826,-0.001636734405823722
2019-03-15,0.00845873160650126,0.006473530758076257,0.006592550138228437,-0.0019649671972771826,0.0049725194084307206,0.007522455238329687
2019-03-18,0.0018065426803688849,-0.0011529150377441156,-0.0005751115036424826,-0.0008285194454623186,0.0036990967989080333,0.003369499891196651
2019-03-19,0.009547038273958657,0.0036079961480897727,-0.0022213727400122174,-0.0014515232624028693,-0.00013057007992675946,0.001226836656803406
2019-03-20,0.003992356946232674,-0.0034542348680875576,0.010406064014582037,-0.0064535991568705165,-0.002948696740769673,0.0006497179270455389
2019-03-21,-0.014328401790338464,0.004296773002431159,0.0021984021074458885,0.007697924787051676,0.010794015494689354,0.014130533089684925
2019-03-22,-0.0005927423572414459,0.0042021684654013165,0.015415370680813103,0.0015532130970757159,-0.019156827134273257,-0.025359159175434083
2019-03-25,-0.01480199577543759,0.007822366697732926,0.001600488095386825,-0.000828090623340484,-0.000839372833310059,-0.0006714414289255697
2019-03-26,0.005538472822803469,-0.005765872414879459,-0.000719884351610625,0.0017588144939775642,0.007157052947934055,0.0070428589082249925
2019-03-27,0.02526980216177766,-0.0033534245976774187,0.009160138188727896,0.00031004889038054257,-0.00465514327659887,-0.0062785274328739996
