date,BTC_team,BTC_std
2019-01-04,0.0202159778069644,0.005452331614920808
2019-01-07,-0.0126847005573856,0.042510901248586884
2019-01-08,0.0013901547706836,0.0013901547706836324
2019-01-09,0.0011030020343775,0.0011030020343775215
2019-01-10,-0.0924592824929815,-0.0924592824929815
2019-01-11,-0.0116137822044308,0.002291770109090111
2019-01-14,0.0421881015929448,0.005054984870562084
2019-01-15,-0.0205485633725479,-0.020548563372547957
2019-01-16,0.0066793014015464,0.006679301401546422
2019-01-17,0.0064244855803284,0.006424485580328479
2019-01-18,-0.0070671279083909,-0.005649816019732142
2019-01-22,0.0079505305564709,-0.014668165057360693
2019-01-23,-0.005411671839448,-0.005411671839448025
2019-01-24,0.0043814311055097,0.004381431105509742
2019-01-25,-0.0015680896475942,-0.00030542026954499585
2019-01-28,-0.0321855631491495,-0.03658441182238729
2019-01-29,-0.0064561266610713,-0.006456126661071388
2019-01-30,0.010978782970954,0.010978782970954
2019-01-31,-0.008176606850343,-0.008176606850343018
2019-02-01,0.0005991408083256,0.00868238253365107
2019-02-04,-0.0014038013125416,-0.008288761421215849
2019-02-05,0.0020802425249583,0.0020802425249583987
2019-02-06,-0.0152876937500929,-0.015287693750092953
2019-02-07,-0.004196583300843,-0.004196583300843028
2019-02-08,0.0273524790089812,0.07569393609415692
2019-02-11,-0.0113803481619821,-0.005016847229195102
2019-02-12,0.0013963105132088,0.0013963105132088508
2019-02-13,-0.005890543660869,-0.0058905436608690425
2019-02-14,-0.0041908735831722,-0.004190873583172263
2019-02-15,0.0198464414295852,0.0010859628225890826
2019-02-19,0.0079819551019106,0.08628175799766276
2019-02-20,0.0132697650984953,0.013269765098495359
2019-02-21,-0.0114918902823277,-0.01149189028232773
2019-02-22,-0.0123387413285902,0.012917451356471413
2019-02-25,0.0187884471459767,-0.03114522819626507
2019-02-26,-0.0073253992798098,-0.007325399279809829
2019-02-27,-0.0008592791582579,-0.000859279158257992
2019-02-28,0.0009701838898456,0.0009701838898456305
2019-03-01,-0.00065867393488,0.0012440007407169633
2019-03-04,-0.0225063140968968,-0.025726336642254186
2019-03-05,0.0352136320131541,0.035213632013154125
2019-03-06,0.0019403387629408,0.0019403387629408418
2019-03-07,0.0019299650258204,0.0019299650258204676
2019-03-08,0.0034011952049135,-0.0026502747112911442
2019-03-11,-0.011804535394846,0.0010493249311857955
2019-03-12,0.0010055701480762,0.0010055701480762823
2019-03-13,-0.0006241055237,-0.00062410552370009
2019-03-14,0.004508157464902,0.00450815746490209
2019-03-15,0.0084587316065012,0.009268473031698707
2019-03-18,0.0018065426803688,0.01791426446817403
2019-03-19,0.0095470382739586,0.009547038273958657
2019-03-20,0.0039923569462326,0.003992356946232674
2019-03-21,-0.0143284017903384,-0.014328401790338464
2019-03-22,-0.0005927423572414,-0.0013307952232004976
2019-03-25,-0.0148019957754375,-0.015249427623961401
2019-03-26,0.0055384728228034,0.005538472822803469
2019-03-27,0.0252698021617776,0.02526980216177766
2019-03-28,-0.0044037841400318,-0.004403784140031825
2019-03-29,0.0029602060666983,0.007166825802505177
2019-04-01,0.012773998435311,0.014487790832901202
2019-04-02,0.1600419797683949,0.1600419797683949
2019-04-03,0.0189074929695084,0.018907492969508402
2019-04-04,-0.010150461847883,-0.010150461847883017
2019-04-05,0.0181897487260235,0.022870127391310363
2019-04-08,0.017328472526209,0.04902759131296927
2019-04-09,-0.0161632267879214,-0.016163226787921488
2019-04-10,0.0227168029339171,0.02271680293391717
2019-04-11,-0.0500755252871914,-0.050075525287191475
2019-04-12,0.0067263330462032,0.004934263167637184
2019-04-15,-0.0196616856812465,-0.004416949710274036
2019-04-16,0.0327034095462467,0.032703409546246745
2019-04-17,0.0031234202806837,0.003123420280683767
2019-04-18,0.0029619162501397,0.008805048106448882
2019-04-22,0.0158365833575133,0.018879200251623388
2019-04-23,0.0315376787102423,0.03153767871024236
2019-04-24,-0.0194793465759446,-0.019479346575944603
2019-04-25,-0.0476609104068962,-0.047660910406896226
2019-04-26,0.004740043644189,0.013123813423158957
2019-04-29,-0.0071752789922622,-0.0060789614828541125
2019-04-30,0.0195086866231988,0.019508686623198813
2019-05-01,0.0096659647371959,0.009665964737195984
2019-05-02,0.0188099797549053,0.018809979754905393
2019-05-03,0.0171364756533314,0.04666729598003433
2019-05-06,-0.0084733105601616,-0.003731179580201647
2019-05-07,0.0142870660185711,0.01428706601857112
