event_label,3,5,10,17
러-우 전쟁,0.1967,0.0981,0.1799,0.2468
미-이스라엘-이란,0.144,0.1176,0.2046,0.0557
솔레이마니 암살,0.0833,0.0924,0.2665,0.2669
이스라엘-이란 충돌,-0.0704,-0.0058,-0.1881,-0.1625
이스라엘-하마스,-0.039,0.0091,0.2088,0.3277
호르무즈 위기,0.0904,0.1186,0.0423,0.0803
