버전,N,평균,표준편차,왜도,첨도,최솟값,최댓값,연환산변동성(%)
팀원 (주말합산),1837,0.00101,0.03347,-1.505,23.58,-0.4647,0.1718,53.13
표준 (NYSE 차분),1837,0.00164,0.0396,-0.915,13.909,-0.4647,0.203,62.86
