window,event,event_label,asset,model,CAR,p_BMP,p_block,label
5,israel_iran,이스라엘-이란 충돌,Gold,CMRM,0.0539,0.0729,0.0416,Marginal
5,israel_iran,이스라엘-이란 충돌,TLT,MM(SP500),-0.0149,0.6812,0.656,Non-Sig
5,israel_iran,이스라엘-이란 충돌,DXY,CMRM,0.004,0.6915,0.7374,Non-Sig
5,israel_iran,이스라엘-이란 충돌,NASDAQ,MM(SP500),0.0048,0.6192,0.6042,Non-Sig
5,us_israel_iran,미-이스라엘-이란,BTC,MM(NASDAQ),0.1176,0.2587,0.0396,Marginal
5,us_israel_iran,미-이스라엘-이란,Gold,CMRM,-0.0291,0.6259,0.5008,Non-Sig
5,us_israel_iran,미-이스라엘-이란,TLT,MM(SP500),0.0001,0.9964,0.9978,Non-Sig
5,us_israel_iran,미-이스라엘-이란,DXY,CMRM,0.0133,0.3328,0.1784,Non-Sig
5,us_israel_iran,미-이스라엘-이란,NASDAQ,MM(SP500),0.0149,0.1488,0.0702,Marginal
10,hormuz_crisis,호르무즈 위기,BTC,MM(NASDAQ),0.0423,0.8644,0.6608,Non-Sig
10,hormuz_crisis,호르무즈 위기,Gold,CMRM,0.0946,0.0369,0.0008,Safe Haven
10,hormuz_crisis,호르무즈 위기,TLT,MM(SP500),0.0293,0.3128,0.1488,Non-Sig
10,hormuz_crisis,호르무즈 위기,DXY,CMRM,-0.0221,0.1487,0.1096,Non-Sig
10,hormuz_crisis,호르무즈 위기,NASDAQ,MM(SP500),-0.0088,0.634,0.3386,Non-Sig
10,soleimani_assassination,솔레이마니 암살,BTC,MM(NASDAQ),0.2665,0.0935,0.0676,Marginal
10,soleimani_assassination,솔레이마니 암살,Gold,CMRM,0.0483,0.098,0.1674,Marginal
10,soleimani_assassination,솔레이마니 암살,TLT,MM(SP500),0.0042,0.8924,0.9302,Non-Sig
10,soleimani_assassination,솔레이마니 암살,DXY,CMRM,0.0007,0.9553,0.9626,Non-Sig
10,soleimani_assassination,솔레이마니 암살,NASDAQ,MM(SP500),0.0133,0.0577,0.1168,Marginal
10,russia_ukraine_invasion,러-우 전쟁,BTC,MM(NASDAQ),0.1799,0.3377,0.2134,Non-Sig
10,russia_ukraine_invasion,러-우 전쟁,Gold,CMRM,0.0898,0.1372,0.01,Marginal
10,russia_ukraine_invasion,러-우 전쟁,TLT,MM(SP500),-0.0305,0.6233,0.4848,Non-Sig
10,russia_ukraine_invasion,러-우 전쟁,DXY,CMRM,0.0219,0.3549,0.079,Marginal
10,russia_ukraine_invasion,러-우 전쟁,NASDAQ,MM(SP500),0.0114,0.6902,0.5472,Non-Sig
10,israel_hamas,이스라엘-하마스,BTC,MM(NASDAQ),0.2088,0.0889,0.0304,Marginal
10,israel_hamas,이스라엘-하마스,Gold,CMRM,0.0324,0.4958,0.2076,Non-Sig
10,israel_hamas,이스라엘-하마스,TLT,MM(SP500),-0.061,0.3907,0.1184,Non-Sig
