범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법
전체합산,전체,Gold+GPR+IA,0.95,Gold_x_GPR,-0.00324,0.00212,0.1263,1827,1735.6,7,HAC+IA(bw=7)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.01,SP500_z,-0.00018,0.0179,0.9918,182,1.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.01,GPR_custom_z,-0.06392,0.03718,0.0873,182,1.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.01,SP500_x_GPR,-0.02267,0.02816,0.4218,182,1.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.025,SP500_z,-0.02591,0.01297,0.0472,182,4.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.025,GPR_custom_z,-0.05053,0.0296,0.0895,182,4.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.025,SP500_x_GPR,-0.04279,0.02152,0.0483,182,4.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.05,SP500_z,-0.01156,0.01009,0.2535,182,9.1,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.05,GPR_custom_z,-0.02234,0.01813,0.2194,182,9.1,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.05,SP500_x_GPR,-0.02876,0.01474,0.0526,182,9.1,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.1,SP500_z,-0.00174,0.00919,0.8503,182,18.2,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.1,GPR_custom_z,-0.01148,0.01167,0.3266,182,18.2,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.1,SP500_x_GPR,-0.01487,0.01334,0.2663,182,18.2,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.2,SP500_z,-0.00235,0.00782,0.764,182,36.4,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.2,GPR_custom_z,-0.00521,0.0074,0.4827,182,36.4,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.2,SP500_x_GPR,-0.01229,0.01159,0.2902,182,36.4,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.25,SP500_z,-0.00148,0.00781,0.8502,182,45.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.25,GPR_custom_z,-0.00211,0.00599,0.7257,182,45.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.25,SP500_x_GPR,-0.00926,0.0118,0.4337,182,45.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.5,SP500_z,-0.01079,0.00561,0.0559,182,91.0,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.5,GPR_custom_z,0.00779,0.00382,0.0428,182,91.0,4,HAC+IA(bw=4)
