date,day_offset,actual,normal,AR,SAR,CAR,CSAR,event_name,asset
2019-06-10,-3,-0.0054376622004116,0.00841112296565327,-0.013848785166064869,-0.4739455372508322,-0.013848785166064869,-0.17913457522208587,hormuz_crisis,BTC
2019-06-11,-2,-0.009117973017984,0.004226205639581272,-0.013344178657565271,-0.45667644108800504,-0.02719296382363014,-0.3517420456136431,hormuz_crisis,BTC
2019-06-12,-1,0.0271447396905516,0.0027321032439194025,0.024412636446632198,0.8354711231105069,-0.0027803273769979424,-0.03596364285275314,hormuz_crisis,BTC
2019-06-13,0,0.0103887534460544,0.006523100561430052,0.0038656528846243484,0.1322938374203338,0.001085325507626406,0.014038727690191698,hormuz_crisis,BTC
2019-06-14,1,0.0547156649508117,0.0021920798227658598,0.052523585128045835,1.797509201951534,0.05360891063567224,0.6934333459350398,hormuz_crisis,BTC
2019-06-17,2,0.0695865294306852,0.006722820567698443,0.06286370886298676,2.151378183239889,0.116472619498659,1.506577867206853,hormuz_crisis,BTC
2019-06-18,3,-0.0259321508495559,0.009752735232194377,-0.03568488608175027,-1.2212401523270664,0.08078773341690873,1.044992476614845,hormuz_crisis,BTC
2019-06-10,-3,-0.0123787173553216,4.666221769557263e-05,-0.012425379573017172,-2.0852625977279278,-0.012425379573017172,-0.7881551788360883,hormuz_crisis,Gold
2019-06-11,-2,0.0012825419568353,4.666221769557263e-05,0.0012358797391397273,0.2074088586327213,-0.011189499833877445,-0.7097619988855265,hormuz_crisis,Gold
2019-06-12,-1,0.0041379887499468,4.666221769557263e-05,0.004091326532251228,0.6866180741329051,-0.007098173301626217,-0.45024476033727256,hormuz_crisis,Gold
2019-06-13,0,0.0054658717373067,4.666221769557263e-05,0.005419209519611127,0.9094671799834759,-0.0016789637820150902,-0.10649847693563007,hormuz_crisis,Gold
2019-06-14,1,0.000671835533549,4.666221769557263e-05,0.0006251733158534273,0.10491836687852131,-0.0010537904661616629,-0.06684306168940102,hormuz_crisis,Gold
2019-06-17,2,-0.0010452624905258,4.666221769557263e-05,-0.0010919247082213726,-0.183249915240707,-0.0021457151743830352,-0.13610501933234037,hormuz_crisis,Gold
2019-06-18,3,0.0058839216634618,4.666221769557263e-05,0.005837259445766227,0.9796255095436627,0.0036915442713831917,0.23415862012872576,hormuz_crisis,Gold
2019-06-10,-3,-0.0094570981468076,-0.0007833066554571176,-0.008673791491350481,-1.7090862862471323,-0.008673791491350481,-0.6459738975086946,hormuz_crisis,TLT
2019-06-11,-2,0.0006128530182133,0.0010336377241037839,-0.00042078470589048387,-0.08291153540145665,-0.009094576197240965,-0.677311512293092,hormuz_crisis,TLT
2019-06-12,-1,0.0007654509049308,0.0016477648412482216,-0.0008823139363174216,-0.17385138324209912,-0.009976890133558387,-0.7430211587421173,hormuz_crisis,TLT
2019-06-13,0,0.0034377040938653,-0.0005796985851024471,0.004017402678967747,0.7915901404596988,-0.00595948745459064,-0.4438282084639671,hormuz_crisis,TLT
2019-06-14,1,0.0025134391272304,0.0014926277227112939,0.001020811404519106,0.20114096287051061,-0.004938676050071533,-0.367804070432046,hormuz_crisis,TLT
2019-06-17,2,0.0017480203541809,0.0005679651327349499,0.00118005522144595,0.23251840881796254,-0.003758620828625583,-0.2799203725782207,hormuz_crisis,TLT
2019-06-18,3,0.0049992805284163,-0.0026082861784543824,0.007607566706870683,1.4989970583669834,0.0038489458782451002,0.2866472606298379,hormuz_crisis,TLT
2019-06-10,-3,0.0015514459723424,0.00017318799333790352,0.0013782579790044965,0.4367883513277082,0.0013782579790044965,0.16509047902614643,hormuz_crisis,DXY
2019-06-11,-2,-0.000723698074158,0.00017318799333790352,-0.0008968860674959036,-0.28423516694115886,0.00048137191150859297,0.0576596839425416,hormuz_crisis,DXY
2019-06-12,-1,0.003200968758095,0.00017318799333790352,0.0030277807647570965,0.9595441409127405,0.0035091526762656895,0.4203332794917172,hormuz_crisis,DXY
2019-06-13,0,0.0001031094905333,0.00017318799333790352,-7.007850280460351e-05,-0.022208812986989485,0.003439074173461086,0.41193913719492925,hormuz_crisis,DXY
2019-06-14,1,0.0057559779981799,0.00017318799333790352,0.005582790004841996,1.769260674830302,0.009021864178303082,1.080656815773114,hormuz_crisis,DXY
