event_name,real_CAR,placebo_mean_CAR,placebo_std_CAR,percentile_of_real,placebo_p,n_placebo
hormuz_crisis,,,,,,0
soleimani_assassination,0.4036778971237565,0.011969476901353877,0.2917122622303903,0.93,0.1399999999999999,200
russia_ukraine_war,0.13212880479104747,0.02197276449456607,0.28637982008359053,0.68,0.6399999999999999,200
israel_hamas_war,0.40529871575494353,-0.01770885839466553,0.29123293464702893,0.935,0.1299999999999999,200
israel_iran,-0.21880023347891042,-0.015876778914226605,0.2758903365756992,0.175,0.35,200
us_israel_iran,0.16845731449409873,0.01308295812916115,0.29385399966800657,0.695,0.6100000000000001,200
