date,event_name,BTC_return_pct,best_model,cond_vol
2019-01-03,hormuz_crisis,-2.7422321806192,Model3,3.9534552352359533
2019-01-04,hormuz_crisis,0.54523316149208,Model3,3.9059593955762426
2019-01-07,hormuz_crisis,4.25109012485867,Model3,3.791518552642661
2019-01-08,hormuz_crisis,0.13901547706836,Model3,3.8613879222021485
2019-01-09,hormuz_crisis,0.11030020343775,Model3,3.753225348905941
2019-01-10,hormuz_crisis,-9.245928249298151,Model3,3.6506889480613656
2019-01-11,hormuz_crisis,0.22917701090901,Model3,4.357881820343749
2019-01-14,hormuz_crisis,0.50549848705621,Model3,4.224801356610537
2019-01-15,hormuz_crisis,-2.0548563372547903,Model3,4.083450763982464
2019-01-16,hormuz_crisis,0.66793014015464,Model3,3.986679218100839
2019-01-17,hormuz_crisis,0.64244855803284,Model3,3.8649157674329606
2019-01-18,hormuz_crisis,-0.56498160197321,Model3,3.7462443509803935
2019-01-22,hormuz_crisis,-1.46681650573605,Model3,3.6385728624889375
2019-01-23,hormuz_crisis,-0.5411671839448,Model3,3.556462700003881
2019-01-24,hormuz_crisis,0.43814311055097,Model3,3.4561271775874043
2019-01-25,hormuz_crisis,-0.03054202695449,Model3,3.3643651953324083
2019-01-28,hormuz_crisis,-3.65844118223873,Model3,3.281229556342771
2019-01-29,hormuz_crisis,-0.64561266610713,Model3,3.355615706741547
2019-01-30,hormuz_crisis,1.0978782970954,Model3,3.275875354135292
2019-01-31,hormuz_crisis,-0.8176606850343,Model3,3.190854241550867
2019-02-01,hormuz_crisis,0.8682382533651001,Model3,3.1098930899948862
2019-02-04,hormuz_crisis,-0.82887614212158,Model3,3.0247858249752797
2019-02-05,hormuz_crisis,0.20802425249582998,Model3,2.9545622180579394
2019-02-06,hormuz_crisis,-1.52876937500929,Model3,2.8826481155557118
2019-02-07,hormuz_crisis,-0.4196583300843,Model3,2.840853634692707
2019-02-08,hormuz_crisis,7.569393609415689,Model3,2.7612519681618144
2019-02-11,hormuz_crisis,-0.5016847229195199,Model3,3.359556216441875
2019-02-12,hormuz_crisis,0.13963105132088,Model3,3.281114510186335
2019-02-13,hormuz_crisis,-0.5890543660869,Model3,3.2132049369847437
2019-02-14,hormuz_crisis,-0.41908735831722,Model3,3.1454182697769424
2019-02-15,hormuz_crisis,0.1085962822589,Model3,3.090338941015907
2019-02-19,hormuz_crisis,8.62817579976625,Model3,3.0361038785641994
2019-02-20,hormuz_crisis,1.32697650984953,Model3,3.764386608054002
2019-02-21,hormuz_crisis,-1.1491890282327701,Model3,3.7038602609411866
2019-02-22,hormuz_crisis,1.2917451356471399,Model3,3.641290197563563
2019-02-25,hormuz_crisis,-3.1145228196265298,Model3,3.5818244327894853
2019-02-26,hormuz_crisis,-0.73253992798098,Model3,3.617601001948297
2019-02-27,hormuz_crisis,-0.08592791582579,Model3,3.5391598195900555
2019-02-28,hormuz_crisis,0.09701838898456,Model3,3.4513231956816965
2019-03-01,hormuz_crisis,0.12440007407169,Model3,3.366738675976013
2019-03-04,hormuz_crisis,-2.57263366422541,Model3,3.28727273954126
2019-03-05,hormuz_crisis,3.5213632013154097,Model3,3.2943658105164264
2019-03-06,hormuz_crisis,0.19403387629408,Model3,3.3451524346967756
2019-03-07,hormuz_crisis,0.19299650258203999,Model3,3.261588320410369
2019-03-08,hormuz_crisis,-0.26502747112911,Model3,3.1898735170827983
2019-03-11,hormuz_crisis,0.10493249311858001,Model3,3.139726721192634
2019-03-12,hormuz_crisis,0.10055701480762001,Model3,3.089736401792898
2019-03-13,hormuz_crisis,-0.062410552370000004,Model3,3.045460858277279
2019-03-14,hormuz_crisis,0.4508157464902,Model3,3.0044752107226307
2019-03-15,hormuz_crisis,0.9268473031698701,Model3,2.964943380881834
2019-03-18,hormuz_crisis,1.7914264468173902,Model3,2.9365217834829265
2019-03-19,hormuz_crisis,0.9547038273958599,Model3,2.9371158682799163
2019-03-20,hormuz_crisis,0.39923569462326,Model3,2.912036250836824
2019-03-21,hormuz_crisis,-1.43284017903384,Model3,2.8803359950775786
2019-03-22,hormuz_crisis,-0.13307952232004,Model3,2.8780583767558547
2019-03-25,hormuz_crisis,-1.52494276239614,Model3,2.854193625169567
2019-03-26,hormuz_crisis,0.55384728228034,Model3,2.8573927483984205
2019-03-27,hormuz_crisis,2.52698021617776,Model3,2.817867569495957
2019-03-28,hormuz_crisis,-0.44037841400318006,Model3,2.85051910790344
2019-03-29,hormuz_crisis,0.71668258025051,Model3,2.8099957410382475
2019-04-01,hormuz_crisis,1.4487790832901,Model3,2.7801874038708867
2019-04-02,hormuz_crisis,16.00419797683949,Model3,2.7728828484726833
2019-04-03,hormuz_crisis,1.89074929695084,Model3,5.099647566303978
2019-04-04,hormuz_crisis,-1.0150461847882999,Model3,4.9736779862757095
2019-04-05,hormuz_crisis,2.28701273913103,Model3,4.847586754776971
2019-04-08,hormuz_crisis,4.90275913129694,Model3,4.7483728091650175
2019-04-09,hormuz_crisis,-1.61632267879214,Model3,4.794172916048896
2019-04-10,hormuz_crisis,2.27168029339171,Model3,4.685983392313201
2019-04-11,hormuz_crisis,-5.00755252871914,Model3,4.597755648250947
2019-04-12,hormuz_crisis,0.49342631676370996,Model3,4.6815487516634775
2019-04-15,hormuz_crisis,-0.4416949710274,Model3,4.558384977208397
2019-04-16,hormuz_crisis,3.2703409546246704,Model3,4.424117598812362
2019-04-17,hormuz_crisis,0.31234202806836997,Model3,4.393193253832934
2019-04-18,hormuz_crisis,0.8805048106448801,Model3,4.2715280299119
2019-04-22,hormuz_crisis,1.88792002516234,Model3,4.170581631056304
2019-04-23,hormuz_crisis,3.1537678710242303,Model3,4.100746789625245
2019-04-24,hormuz_crisis,-1.9479346575944598,Model3,4.087605362975813
2019-04-25,hormuz_crisis,-4.76609104068962,Model3,4.034690756589841
2019-04-26,hormuz_crisis,1.31238134231589,Model3,4.156231374197244
2019-04-29,hormuz_crisis,-0.6078961482854,Model3,4.066465306914876
2019-04-30,hormuz_crisis,1.9508686623198799,Model3,3.9573253642368322
2019-05-01,hormuz_crisis,0.96659647371959,Model3,3.8824888970711986
2019-05-02,hormuz_crisis,1.88099797549053,Model3,3.7856948332684115
2019-05-03,hormuz_crisis,4.66672959800343,Model3,3.7266659854382005
2019-05-06,hormuz_crisis,-0.37311795802016,Model3,3.8424212306478327
2019-05-07,hormuz_crisis,1.42870660185711,Model3,3.762111456653282
2019-05-08,hormuz_crisis,2.58999553140452,Model3,3.6944105851183453
2019-05-09,hormuz_crisis,3.1601133315537897,Model3,3.686595982640005
2019-05-10,hormuz_crisis,3.25551192394692,Model3,3.704934044017821
2019-05-13,hormuz_crisis,20.304639975180212,Model3,3.7345563296576954
2019-05-14,hormuz_crisis,2.27092076256784,Model3,6.566588933735903
2019-05-15,hormuz_crisis,2.60208959248796,Model3,6.384756903941364
2019-05-16,hormuz_crisis,-3.9813493607042902,Model3,6.221595937503819
2019-05-17,hormuz_crisis,-7.1081277258818,Model3,6.128244907941577
2019-05-20,hormuz_crisis,8.28570695486819,Model3,6.248045569629824
2019-05-21,hormuz_crisis,-0.18795372127934,Model3,6.437596636797595
2019-05-22,hormuz_crisis,-3.62187635444826,Model3,6.233085570979549
2019-05-23,hormuz_crisis,2.59340328588813,Model3,6.117319164420746
2019-05-24,hormuz_crisis,1.32995155792158,Model3,5.962564474409879
2019-05-28,hormuz_crisis,8.775312805053579,Model3,5.784258635176562
2019-05-29,hormuz_crisis,-0.69593521281463,Model3,6.072842837757014
2019-05-30,hormuz_crisis,-4.00566479677288,Model3,5.8867579807665145
2019-05-31,hormuz_crisis,3.0194039934908,Model3,5.811814280056396
2019-06-03,hormuz_crisis,-4.35623915431442,Model3,5.690151703144321
2019-06-04,hormuz_crisis,-6.30014783427008,Model3,5.640695636741678
2019-06-05,hormuz_crisis,1.49964735399352,Model3,5.733571975042178
2019-06-06,hormuz_crisis,-0.02822410658263,Model3,5.5545292559145025
2019-06-07,hormuz_crisis,2.79771290768078,Model3,5.36076610688029
2019-06-10,hormuz_crisis,-0.5437662200411599,Model3,5.231042302786351
2019-06-11,hormuz_crisis,-0.9117973017983999,Model3,5.054153120888151
2019-06-12,hormuz_crisis,2.71447396905516,Model3,4.903399751898212
2019-06-13,hormuz_crisis,1.03887534460544,Model3,4.815571528051021
2019-06-14,hormuz_crisis,5.47156649508117,Model3,4.686185691286972
2019-06-17,hormuz_crisis,6.95865294306852,Model3,4.783884923682872
2019-06-18,hormuz_crisis,-2.59321508495559,Model3,5.00915873148382
2019-06-19,hormuz_crisis,2.08948838816372,Model3,4.934502739076105
2019-06-20,hormuz_crisis,2.6983496264122797,Model3,4.839810507520939
2019-06-21,hormuz_crisis,6.2790586710018,Model3,4.771196240212446
2019-06-24,hormuz_crisis,8.19668154406263,Model3,4.943109534307251
2019-06-25,hormuz_crisis,6.842540313130869,Model3,5.290566888577547
2019-06-26,hormuz_crisis,9.886766271923939,Model3,5.457100576876911
2019-06-27,hormuz_crisis,-15.18196739369874,Model3,5.928201038390283
2019-06-28,hormuz_crisis,10.391011328681179,Model3,7.081484445523754
2019-07-01,hormuz_crisis,-15.90259165175732,Model3,7.397752224735351
2019-07-02,hormuz_crisis,2.04397936493043,Model3,8.345060841915188
2019-07-03,hormuz_crisis,10.19724231462695,Model3,8.069035626338982
2019-07-05,hormuz_crisis,-8.57387233094812,Model3,8.249667049621525
2019-07-08,hormuz_crisis,11.25218171691106,Model3,8.30250323356267
2019-07-09,hormuz_crisis,2.3159293280455797,Model3,8.558114981717988
2019-07-10,hormuz_crisis,-3.37512276446848,Model3,8.28116798729667
2019-07-11,hormuz_crisis,-6.78844161871299,Model3,8.05366973986237
2019-07-12,hormuz_crisis,3.94727538685642,Model3,7.999495812535089
2019-07-15,hormuz_crisis,-8.11411734726623,Model3,7.78955114515711
2019-07-16,hormuz_crisis,-13.93767055806641,Model3,7.8248076858856095
2019-07-17,hormuz_crisis,2.2551278856090198,Model3,8.427944180239633
2019-07-18,hormuz_crisis,9.56195530666192,Model3,8.138343960739235
2019-07-19,hormuz_crisis,-1.28084615726044,Model3,8.238608805566685
2019-07-22,hormuz_crisis,-1.79776255861929,Model3,7.947185662105752
2019-07-23,hormuz_crisis,-4.3707966595476595,Model3,7.677360282415424
2019-07-24,hormuz_crisis,-0.9013724991008001,Model3,7.499378240432791
2019-07-25,hormuz_crisis,1.01316211442782,Model3,7.235786609529665
2019-07-26,hormuz_crisis,-0.41995593419582994,Model3,6.9724586545965295
2019-07-29,hormuz_crisis,-3.6225536898156303,Model3,6.728759601221296
2019-07-30,hormuz_crisis,0.9231027857063199,Model3,6.561089491312278
2019-07-31,hormuz_crisis,4.85753181457759,Model3,6.324327183579432
2019-08-01,hormuz_crisis,3.06625402642424,Model3,6.228509351498809
2019-08-02,hormuz_crisis,1.1330721144643299,Model3,6.060928844002523
2019-08-05,hormuz_crisis,11.54738170801919,Model3,5.869833168865888
2019-08-06,hormuz_crisis,-2.8131633051239597,Model3,6.466457262194646
2019-08-07,hormuz_crisis,3.9612102673995,Model3,6.3026925174055535
2019-08-08,hormuz_crisis,0.2044345052785,Model3,6.187253863608845
2019-08-09,hormuz_crisis,-0.8684364496770199,Model3,5.976866434471158
2019-08-12,hormuz_crisis,-4.1331664073565495,Model3,5.791085801086749
2019-08-13,hormuz_crisis,-4.3707143389405,Model3,5.7212666253428965
2019-08-14,hormuz_crisis,-8.063797192427451,Model3,5.6627198499679805
2019-08-15,hormuz_crisis,2.55220459657217,Model3,5.899538345513698
2019-08-16,hormuz_crisis,0.60711120004816,Model3,5.717987368049919
2019-08-19,hormuz_crisis,5.08991827786004,Model3,5.509088656473344
2019-08-20,hormuz_crisis,-1.40986026461183,Model3,5.487494005823313
2019-08-21,hormuz_crisis,-5.984026786228671,Model3,5.313580252887077
2019-08-22,hormuz_crisis,-0.06901282262681,Model3,5.393512242777367
2019-08-23,hormuz_crisis,2.69658389084879,Model3,5.1956528440578875
2019-08-26,hormuz_crisis,-0.35752398936553,Model3,5.049574110799092
2019-08-27,hormuz_crisis,-1.8030983225030401,Model3,4.882549182586136
2019-08-28,hormuz_crisis,-4.3244332321516605,Model3,4.754793997190791
2019-08-29,hormuz_crisis,-2.5355880586420803,Model3,4.7490531325755185
2019-08-30,hormuz_crisis,0.9207926773968301,Model3,4.648146390369948
2019-09-03,hormuz_crisis,10.149944313938281,Model3,4.493105517481271
2019-09-04,hormuz_crisis,-0.27379439807032,Model3,5.119332794876073
2019-09-05,hormuz_crisis,-0.17912085396542002,Model3,4.955028018049623
2019-09-06,hormuz_crisis,-2.12375711817206,Model3,4.799671924886407
2019-09-09,hormuz_crisis,-0.17718372091033,Model3,4.688204131773286
