model,model_label,AIC,BIC,LogLik,alpha_beta,GPR_custom_gamma
Model3_eventD,VIX + Fear&Greed + 이벤트 더미,9569.545164085044,9635.630857041775,-4772.772582042522,0.9852417562382286,
Model5_eventD,커스텀 GPR + 시장심리 + 이벤트 더미,9571.418175187104,9643.011009223563,-4772.709087593552,0.9852871252141802,0.021851480737420777
Model3,VIX + Fear&Greed,9578.710353738352,9617.260341296445,-4782.355176869176,0.9961184796326059,
Model5,커스텀 GPR + 시장심리,9580.416905906526,9624.474034544348,-4782.208452953263,0.9959625467344775,0.0363671269021164
